factor_name
NetWorkingCapital
NetDebt
RetainedEarnings
GrossProfit
WorkingCapital
NetIntExpense
DebtEquityRatio
SuperQuickRatio
NonCurrentAssetsRatio
CurrentRatio
CurrentAssetsRatio
